地域	値	店舗数	人口
関東	29945	13	1375
中部	16571	18	741
中部	25390	28	1852
東北	20300	23	544
中部	12712	26	1413
東北	31521	18	1062
東北	24306	23	1270
関東	27808	14	976
中部	19178	14	792
九州	31011	20	744
関東	13262	9	489
中部	25914	12	1689
中部	24784	29	566
中部	26367	28	811
東北	22317	17	1943
東北	17581	5	512
関西	25659	28	1163
関東	29653	18	436
九州	30139	26	624
東北	17910	24	1435
関西	25634	10	1784
関東	23101	5	1935
関西	25189	12	1790
関西	18947	7	754
中部	23071	5	993
関西	20881	11	1667
関東	16607	11	1715
関東	21171	18	1367
東北	24839	27	1560
九州	20641	7	508
関東	30741	16	768
関東	19888	9	1758
関東	16459	19	1444
関東	28884	22	885
関東	29990	8	1027
東北	17152	10	1416
東北	30649	12	1689
関東	12073	11	1502
中部	21093	16	748
中部	25610	29	520
東北	28332	12	658
中部	28878	5	1754
中部	18129	16	880
九州	21336	20	1260
関東	16156	15	1951
中部	27188	23	879
中部	22354	19	1798
関東	22420	16	620
関東	31464	15	904
九州	13182	21	818
関東	14719	26	925
関東	22256	9	1748
九州	14712	17	1012
九州	15818	24	574
関西	18683	19	1252
九州	23936	25	1919
関西	14268	20	866
関西	15386	12	1379
九州	19773	6	1030
九州	25586	20	929
東北	12553	27	1880
関西	17556	10	1011
関西	30979	15	663
関西	16889	22	1587
東北	23020	28	1141
中部	18463	10	732
関西	29257	18	1652
九州	28987	22	1882
東北	25613	14	1685
東北	30222	21	1829
東北	30441	14	1507
九州	25242	7	1699
九州	22849	21	862
中部	21832	28	597
関東	28137	29	462
東北	29012	5	1404
中部	20263	10	1971
中部	23293	23	1184
関西	17773	14	670
東北	18188	5	1096
九州	17005	17	746
東北	16824	7	728
関東	30270	12	1948
東北	29907	28	984
関西	12755	6	1012
九州	30711	13	548
中部	24684	9	1270
九州	13401	25	1891
東北	26425	6	674
東北	22210	5	1189
関東	30471	10	933
九州	13590	18	434
中部	28020	26	1612
九州	15140	9	586
東北	30321	18	1454
中部	28545	17	1345
東北	30975	5	420
関東	31935	20	1265
東北	29864	15	1506
関東	25652	28	1566
関西	13976	6	641
関西	21957	15	1070
東北	21396	17	417
関西	16857	6	1010
関西	18088	18	1274
関西	20544	13	972
中部	19943	24	1246
中部	25519	10	833
東北	24948	19	1945
中部	13731	27	1939
九州	12096	18	1662
中部	30681	12	1712
九州	28325	19	975
九州	14261	15	742
関西	14777	19	1534
中部	31944	23	466
東北	24857	24	750
関東	31228	13	1650
関東	13882	15	955
東北	24391	11	945
関西	12476	18	974
九州	18610	16	1085
中部	18664	17	1798
関東	13327	12	1520
関東	16680	20	737
東北	17487	9	1778
関東	16144	6	1370
関西	13109	6	1299
九州	29955	11	907
関西	16052	20	1243
関東	16421	17	980
中部	30640	26	1797
中部	20550	16	452
関東	15354	5	896
九州	27952	9	1389
関西	22494	7	980
関東	13433	8	1000
中部	12093	22	1005
九州	30338	6	1031
関西	31698	13	726
九州	25004	5	744
関東	15909	26	895
関東	17091	9	1260
九州	12389	16	423
関東	15404	29	1266
関東	13025	18	1814
九州	18207	15	830
関西	25340	8	884
関東	31206	21	1742
九州	24238	5	894
中部	20928	22	1854
中部	24251	10	730
関東	26931	7	721
東北	13004	29	504
中部	31594	20	1227
中部	25759	16	598
東北	31505	7	1371
九州	25546	23	892
関東	18806	16	1603
九州	16899	27	818
中部	17207	27	668
関東	20456	23	1393
中部	29212	19	1873
関東	12065	29	1382
関西	30446	22	1107
中部	22904	12	879
関西	20848	24	454
東北	25759	17	1096
関東	26706	11	1357
関東	29519	22	889
関東	22658	8	1794
中部	22214	17	1016
関西	21800	19	456
九州	22219	11	1353
関西	16280	29	1861
関西	19654	27	1391
九州	16665	11	1246
九州	31677	23	1029
関西	22783	23	1345
東北	20765	15	1973
東北	31011	5	747
東北	21505	18	1364
九州	18867	15	661
関西	13414	7	1996
中部	30511	21	1126
東北	29913	24	1990
中部	13191	11	1119
中部	13561	10	1914
関西	28539	10	1062
関西	25024	20	587
関西	28164	28	1212
東北	15194	18	553
関西	17770	15	577
関西	30113	16	1549
関東	19871	25	1220
東北	29785	12	493
関西	21771	13	1842
関東	30477	19	1032
中部	18259	21	808
中部	25064	23	1023
関西	17423	20	1153
九州	26883	26	1455
東北	24844	10	563
関西	23136	23	1550
関東	23353	27	1457
関東	30622	17	719
中部	20959	11	858
関西	25009	26	1675
関西	21415	6	482
東北	25040	7	1928
中部	15631	25	911
九州	30652	28	1088
九州	13610	23	1824
関東	16561	16	1656
九州	19980	13	1130
関東	18317	18	532
東北	30915	8	1295
中部	21530	10	1630
中部	13901	21	599
中部	26947	15	667
東北	22973	12	1213
東北	22621	5	1551
関東	23970	6	487
関西	28542	7	1744
関東	21686	26	1697
関東	28193	8	528
関東	16547	19	1666
九州	21752	9	1366
中部	25346	5	603
九州	27114	10	1594
関東	27063	24	964
中部	15206	6	1480
東北	26365	29	1456
関西	19113	23	1699
中部	12286	13	1545
九州	31157	9	1837
東北	26925	21	1814
関西	24299	16	1487
関東	20013	8	1828
中部	26361	10	1904
中部	14158	25	1892
関西	24755	22	909
中部	12658	20	1311
東北	14706	18	690
九州	22453	15	1490
関西	12910	16	1462
関東	30974	16	1573
九州	22031	23	1334
東北	31360	21	1039
九州	25779	20	1224
関西	17082	13	995
関西	22494	6	1192
東北	19571	28	801
関西	15977	16	1416
九州	18249	20	1130
関東	15872	26	749
九州	27529	21	1446
関東	15040	24	1898
中部	19922	15	1599
九州	22675	21	1150
九州	15342	6	1161
九州	17527	27	1840
東北	13156	10	1783
東北	29165	6	1206
九州	23586	5	730
中部	14134	17	1520
九州	23154	15	737
九州	19757	24	1714
中部	13203	21	548
九州	19116	8	652
東北	25611	8	1468
関東	22070	5	1145
中部	21002	24	718
九州	28943	25	1955
中部	15129	5	1835
中部	28434	14	1497
東北	26733	7	902
東北	22673	13	1148
東北	27310	23	475
関西	13162	13	1232
関西	12670	29	1189
関東	13854	14	1185
関西	31555	26	437
関西	29146	12	674
中部	22020	15	1864
関東	14308	14	461
関西	26470	14	805
中部	19153	24	400
関東	23525	16	1339
関西	18115	25	912
中部	28552	5	1112
関東	25297	6	629
関東	22722	12	770
中部	25676	11	457
九州	23942	9	1828
関西	29704	5	670
中部	17260	10	401
関東	18072	12	1333
関東	16993	17	1362
九州	28312	7	1824
東北	21530	27	1441
九州	26782	8	753
関東	25165	16	555
九州	26602	7	428
東北	18815	22	1094
東北	14287	20	622
中部	24417	19	971
関西	15282	8	1103
関東	22707	29	1737
中部	27396	25	926
中部	24622	29	528
東北	28866	7	1667
中部	22887	9	1440
東北	22871	20	1080
九州	31822	27	1916
九州	17258	8	1088
九州	16982	13	797
関西	18679	13	1753
東北	25693	13	1069
関西	17761	26	1377
関西	16893	26	1178
中部	16908	24	1896
九州	14060	9	1380
関西	15314	9	1437
中部	14312	8	827
関西	30865	6	874
中部	14150	8	1311
九州	13578	5	1505
九州	13317	29	1204
関西	22735	13	785
中部	29127	16	528
九州	14357	16	926
九州	20159	28	785
東北	24601	17	917
九州	24988	23	447
関東	14279	11	1258
中部	21158	15	1003
中部	26461	21	1961
関東	13560	7	1001
関東	28416	21	1895
関東	16581	26	1795
中部	23331	5	1696
関西	24404	25	1674
関西	21839	17	1245
関西	26341	28	1312
東北	19508	17	1449
関東	14681	23	709
関西	28297	20	1989
九州	14982	7	1887
中部	22533	20	496
中部	15474	19	1226
東北	18478	6	1655
中部	26608	29	1724
東北	15754	25	1879
東北	21126	21	1235
東北	17359	17	1348
中部	18286	29	787
九州	22956	23	570
関東	31998	10	1036
東北	31941	7	929
東北	25422	19	1421
関西	18729	12	601
関西	21720	17	500
関西	13663	25	508
九州	14619	26	620
中部	29495	8	1363
中部	22718	8	466
関東	21726	17	1115
中部	19169	16	1584
中部	19812	26	978
関西	25486	6	755
中部	19194	13	1391
関西	31383	9	1104
関西	13922	17	1877
東北	25187	10	1527
九州	23868	16	700
関東	25745	9	1728
関東	12688	12	1728
関西	16645	26	1608
東北	18739	28	879
中部	29255	16	433
東北	19847	21	1173
東北	22985	20	879
関東	15070	9	954
関西	22392	7	1798
九州	26798	6	1107
九州	18000	24	1280
九州	28721	28	779
関西	29083	12	1053
関西	21986	16	816
関東	29018	28	1518
九州	18508	12	483
関西	18506	20	752
九州	15570	8	655
関東	30313	18	931
九州	19070	16	1056
東北	28589	21	1271
九州	29346	9	1156
中部	29224	24	1545
関東	18648	6	1995
関西	25819	23	756
東北	23534	24	1092
関東	19208	19	968
中部	28030	13	1160
中部	12252	13	1584
中部	31231	20	1059
中部	22097	6	1270
関東	19160	20	1092
中部	13631	18	544
中部	24677	25	1878
関西	30465	19	1035
中部	16015	21	575
関東	25867	14	981
中部	13900	17	1435
関東	28742	9	1523
関東	18468	26	1009
関西	18832	20	882
九州	13685	5	1760
九州	29829	6	731
九州	21950	26	1025
関東	23903	5	1178
関東	28713	20	1854
中部	28319	24	1263
東北	29304	21	1608
中部	14719	23	776
九州	27027	27	1722
関東	14675	17	846
関西	14952	24	742
関東	16501	17	1374
中部	21209	25	1292
関西	22216	9	1896
関西	23127	16	1147
中部	22407	20	559
中部	18993	18	1992
関西	14971	23	1282
九州	14090	18	1633
中部	26396	15	1442
関東	19424	15	1775
東北	15584	16	1833
関西	20292	20	872
中部	18571	6	1886
関西	29574	7	585
中部	29774	17	914
関西	19511	15	1867
中部	19474	24	1941
九州	18039	17	1253
中部	12392	26	762
中部	23166	28	679
中部	27422	24	1768
九州	21120	23	1677
東北	23395	18	1675
関西	16688	6	627
九州	23803	13	459
中部	27897	15	1226
関東	20648	10	1414
関西	28851	21	1265
関東	17906	11	1408
東北	12134	24	939
九州	20065	26	1208
東北	16843	11	472
中部	20914	15	987
関東	20703	26	936
九州	16795	27	1635
関東	13800	27	646
中部	21894	14	1398
東北	31603	16	953
中部	27516	17	1255
東北	12638	7	499
関東	17208	22	1791
関西	31514	5	836
中部	27897	21	678
中部	20450	9	523
中部	13166	6	822
関西	16198	14	1243
関西	30647	22	1625
九州	29785	26	1115
関西	22293	15	438
中部	30622	6	1770
東北	29663	18	438
東北	24419	11	847
関西	18552	5	1015
関西	30222	6	991
関東	31842	7	1052
東北	18603	6	977
中部	25754	8	1366
関東	25067	7	492
九州	24102	20	1289
中部	30471	20	563
関東	28390	9	1309
関西	15381	20	699
関東	25564	26	1560
関東	15648	13	1305
九州	12312	7	1477
関西	13382	25	1668
九州	16189	6	1188
中部	14135	29	1620
関東	15895	10	474
中部	22139	9	432
関西	20312	12	980
九州	28401	24	1920
九州	19114	24	864
東北	17161	11	1892
関東	20005	26	1041
九州	30409	25	885
東北	21878	14	1220
九州	20118	23	1002
九州	24617	12	708
関西	24369	16	1746
九州	30510	19	1961
中部	30499	22	606
関西	13217	18	423
九州	15253	5	1948
東北	23087	24	1745
関西	27191	9	993
九州	16550	22	1721
東北	30378	11	602
関西	30946	22	1206
東北	20559	27	1494
中部	26927	15	1468
関西	12936	10	1010
東北	16267	9	1889
関東	18481	28	705
東北	31638	16	1334
関東	28248	18	1619
九州	25962	21	490
関東	25339	21	1681
中部	22994	13	1284
関東	29510	21	968
関西	22079	12	1164
東北	29248	15	487
関西	21439	21	964
中部	26364	29	1998
関西	16977	11	1970
関東	22428	12	649
九州	25325	6	1861
関東	27917	25	944
中部	16114	28	1277
九州	26264	16	1386
関西	17366	15	1548
九州	19577	14	1942
九州	27328	14	1373
関東	28919	27	1329
東北	13002	15	1437
関東	26460	14	1823
関東	22506	29	1904
中部	15958	13	729
関東	16091	14	1625
九州	24234	21	1623
中部	12668	10	850
中部	27400	6	724
関東	12088	25	1202
中部	23284	14	893
関西	29360	22	1464
九州	15492	6	1734
東北	24126	20	984
九州	20557	7	929
中部	27865	28	1570
中部	30168	13	1040
中部	19714	28	1092
関東	27625	16	729
中部	17906	16	732
東北	18732	21	1168
九州	27733	21	445
中部	13980	7	1870
東北	25982	29	1925
東北	26177	21	781
九州	22669	17	653
関西	16983	18	897
東北	30678	11	1198
中部	18029	19	636
九州	12837	28	1061
九州	27739	24	1399
九州	31963	13	1314
中部	17411	18	1494
関東	19877	19	1994
中部	24854	9	1168
東北	14801	18	1251
東北	23986	21	1570
中部	20617	6	1574
中部	24408	15	686
関東	27472	16	1554
中部	17015	28	404
関東	13597	27	877
東北	24628	12	1410
関東	18952	21	1179
関東	27067	5	1078
関東	24688	26	1985
九州	21038	6	1273
関東	30339	27	769
関東	24626	29	1774
東北	19965	29	1665
関東	13073	8	559
東北	14752	5	415
関西	19298	9	897
東北	13755	9	957
中部	30547	17	948
東北	21039	8	734
中部	25569	12	654
東北	21035	28	1227
関東	29634	7	1622
九州	26280	15	1843
関西	23694	14	723
東北	31879	28	509
東北	17555	25	1060
中部	18030	25	1435
関東	13597	27	934
九州	21206	21	1591
九州	15496	20	1809
九州	31846	7	1258
中部	27451	26	764
東北	17265	18	411
関西	31165	23	1816
中部	15952	14	1653
九州	20336	5	1926
関東	13897	11	1768
九州	24976	11	1693
関東	28552	21	1096
東北	28674	10	1481
中部	22372	11	1483
中部	15643	8	1584
九州	26764	12	624
関東	18986	12	1705
中部	17631	12	1812
関東	21204	17	1724
関東	27990	11	1420
関西	23131	20	1815
中部	18797	22	843
関東	15839	9	1841
関西	30787	12	543
関西	21103	10	824
九州	15855	21	557
東北	12968	13	506
東北	16860	15	1261
関西	22750	13	483
東北	12529	7	1809
関西	13935	24	1366
東北	24688	24	1361
九州	25968	17	964
東北	16884	10	626
九州	20696	8	1365
関西	28857	27	1607
関東	16674	9	1193
関東	17608	21	1199
九州	17544	27	1086
中部	16262	8	1792
九州	12452	25	1130
九州	15953	6	617
関東	18914	26	1010
中部	19959	10	1269
九州	23941	18	1196
東北	23524	21	479
九州	20519	13	997
九州	13610	20	506
関西	17116	22	1222
九州	26586	5	988
東北	20253	18	1819
関西	19261	8	665
関西	24065	21	1877
関西	20737	10	599
関西	24514	16	889
中部	15985	7	865
関東	12627	10	1355
九州	14938	10	1237
中部	26978	15	1255
九州	14119	10	1235
中部	28623	18	1300
東北	28257	28	1984
中部	14425	24	993
中部	26907	9	1651
関西	19680	17	1241
中部	27356	16	515
九州	15198	15	1471
東北	12588	10	1671
関西	26488	6	700
東北	15369	9	541
関東	27933	6	1960
九州	18636	19	831
関西	23430	8	1090
東北	17182	13	1120
関東	21068	18	1998
関西	13631	15	1326
関西	17599	17	469
中部	23250	18	429
関西	27810	23	1041
関東	20375	20	1360
中部	27262	6	1448
東北	13433	20	1887
東北	28503	22	1153
関西	31549	20	775
九州	17089	25	1290
中部	21532	12	830
中部	13059	9	1065
東北	31328	5	876
関東	14897	24	1226
中部	19016	9	1604
東北	17086	16	914
関西	12847	13	1859
中部	23605	14	545
中部	21701	24	1222
関西	22598	29	1600
関西	28609	29	961
東北	12390	20	1532
九州	18622	5	1488
九州	15780	16	656
九州	12939	5	1039
関西	29774	19	1987
九州	22320	12	1257
関東	12681	26	656
関東	16064	26	1321
中部	15029	16	1800
中部	14294	11	584
九州	25519	21	1029
関東	23644	9	1828
関西	26466	5	1480
九州	16000	29	849
関西	18495	16	1044
東北	28347	29	856
関西	28581	6	1909
九州	15868	18	1065
九州	20592	8	1858
九州	18607	10	591
中部	29814	23	1266
東北	19215	26	677
中部	24934	18	1175
東北	29718	13	1276
関東	26919	8	645
中部	26921	24	1181
九州	13014	26	1565
関東	19849	8	1192
関東	21888	6	1601
関西	28284	23	871
関東	16676	24	1963
中部	15451	19	1508
関東	18075	25	1817
関西	25336	20	589
関西	19896	19	1368
中部	26958	7	1733
中部	28570	21	992
九州	14984	25	766
東北	24955	28	1150
九州	15109	9	1250
関西	15077	11	1161
九州	21173	13	1801
東北	28161	26	1801
関東	22479	15	1757
関東	26655	13	1755
中部	18592	22	1865
中部	30611	5	1125
東北	31452	6	1566
九州	14390	27	1398
東北	12330	22	967
九州	29936	9	412
中部	23057	28	685
関東	30993	20	403
中部	31012	9	1004
関西	14923	24	735
関西	19368	13	1811
関東	16232	24	572
関西	20977	14	1752
東北	31317	7	1698
東北	16809	15	1614
関西	18602	29	631
関西	19288	13	1084
九州	29044	12	451
九州	13578	20	946
九州	12560	11	1293
九州	21728	22	981
九州	29742	13	1524
九州	17861	22	1124
九州	16472	7	1118
九州	27687	15	877
中部	23670	16	914
関東	14693	9	1768
中部	13234	25	1474
関東	23273	28	642
東北	31812	19	1008
中部	17696	8	554
関西	20149	27	1491
九州	19825	25	1814
東北	28153	28	912
関西	31277	15	1818
関東	20251	19	1152
東北	20094	9	1385
中部	27234	13	1220
関東	28811	28	507
関東	24840	13	1183
関東	17914	24	1165
九州	19169	15	1777
関東	18017	12	1200
関西	30559	13	717
関西	22002	12	974
関東	16389	5	1906
関東	12164	15	1290
東北	20626	19	1284
関東	31998	24	457
関東	29748	7	1019
東北	30783	15	467
東北	23641	14	1397
関西	14418	18	468
中部	18149	22	1218
関東	20445	24	600
関東	24104	10	1352
中部	24613	21	1140
東北	20105	20	1483
九州	16842	6	1136
関東	16933	19	1295
関東	23674	24	1011
中部	31360	28	1693
関東	29639	9	450
東北	12942	9	1515
九州	17475	29	514
中部	13998	9	478
中部	20475	24	966
九州	15511	18	593
東北	21926	14	685
東北	21672	7	963
関東	17724	27	1558
中部	18945	11	839
九州	21264	19	1691
中部	28706	14	1888
関東	17915	17	720
関西	12804	9	1641
関西	24090	11	1200
関西	26239	26	1549
関西	19313	24	917
九州	14774	18	482
九州	15894	20	1855
関西	18223	27	1099
東北	18930	23	1089
関東	19353	21	495
中部	22186	17	992
中部	31282	27	841
中部	21555	16	512
関西	26801	23	850
九州	20750	9	1369
東北	13805	6	1555
九州	29020	21	1335
中部	15502	18	1637
関西	29429	11	1272
東北	15013	24	1789
中部	23693	9	1030
関西	29373	14	1103
関東	20869	8	608
東北	26481	27	1649
九州	17129	21	1183
関東	24190	8	481
中部	13957	25	1861
中部	21573	21	1802
関西	22334	11	1685
東北	30729	6	841
中部	29710	10	1920
中部	18173	18	774
東北	17921	15	460
東北	20418	16	959
中部	19455	26	697
関西	15445	8	1870
九州	28116	28	1292
関西	24447	25	1846
中部	22870	15	1425
東北	22222	26	1643
関東	13483	17	1957
中部	24479	23	514
中部	19468	18	1111
関西	12349	10	684
東北	24142	9	512
東北	29423	26	1614
中部	30352	24	1459
関西	24638	17	1253
九州	17786	22	455
中部	19579	20	431
関西	14892	6	695
関東	21460	20	1254
中部	25119	8	566
関西	25112	15	1870
関西	14871	28	1114
東北	14335	20	1992
九州	14771	6	1971
関西	21023	12	752
東北	18715	7	1820
中部	14929	9	1308
東北	18908	11	561
九州	15078	22	805
東北	29313	23	1209
東北	20288	28	1443
中部	21035	5	1166
関西	23164	19	1997
関西	24197	19	1853
関東	15654	12	1358
中部	12315	13	1520
中部	21052	12	646
九州	26490	27	428
東北	24692	14	1130
中部	17431	19	786
中部	14245	9	1505
中部	16110	12	1577
東北	28315	15	971
関西	26497	23	679
九州	30627	9	1083
関東	24710	15	708
関西	24757	18	1024
関東	13553	8	1926
中部	29092	9	762
関西	27944	28	1298
東北	24549	17	1580
関西	21315	8	1804
関東	18532	17	832
東北	22993	24	1891
中部	29200	28	1738
関東	18466	10	903
東北	30351	26	1327
東北	19604	15	964
関西	13107	28	1195
中部	25531	5	1635
九州	23937	25	1189
関西	17567	23	844
九州	31086	13	1496
中部	30586	26	543
関東	16644	11	882
東北	14010	27	1165
中部	31493	9	794
九州	15708	14	1757
関東	29822	19	1897
九州	13794	15	969
九州	18868	22	1092
九州	30816	24	793
九州	23558	22	1476
東北	15383	16	835
東北	15036	14	952
関東	25709	9	1794
東北	30112	7	514
関東	29048	20	1508
中部	27400	8	1664
九州	29737	10	1980
中部	28640	26	1865
中部	18648	23	1826
中部	31829	14	1969
九州	27263	28	1534
九州	19774	5	1851
東北	16566	6	1152
関東	27998	20	727
中部	29560	16	601
関西	31795	9	409
九州	19088	22	846
九州	15806	13	1146
中部	19950	11	1011
関東	20263	28	869
東北	18797	15	849
東北	31206	28	1745
東北	12092	18	604
関東	13292	19	478
関東	12338	26	414
中部	28287	12	1510
九州	19155	19	1910
関東	29087	8	1967
関東	24584	27	1956
関東	17415	6	1117
中部	16929	16	653
関東	27329	7	1089
関東	22429	6	694
東北	23167	7	974
中部	26190	5	1617
関西	27333	5	1301
中部	21153	26	1064
東北	30865	14	1352
中部	24815	16	1774
関東	29802	8	1651
中部	29175	24	443
関東	16312	29	481
九州	14506	12	1672
九州	15838	8	1437
東北	17014	20	1531
中部	19835	25	1412
中部	27842	19	1615
関西	13978	13	419
九州	17775	12	1408
関東	31073	18	1552
関東	17734	26	1366
九州	14988	22	1341
関東	25615	6	1641
関東	25877	24	707
九州	28802	21	1191
関西	15193	16	1794
九州	19656	7	1401
東北	30849	22	1179
九州	12787	25	1553
関西	29759	16	473
中部	23572	13	950
中部	20344	19	1462
東北	17968	6	1331
九州	14380	20	1111
九州	15723	20	1410
九州	27329	19	1300
関西	31663	21	1499
東北	24230	5	1831
関東	21054	16	938
九州	18930	26	423
中部	15345	25	951
関東	17787	9	1360
中部	21900	21	1129
九州	26243	23	1477
関西	16273	12	458
東北	27370	29	1976
関東	19331	5	1392
九州	14498	17	888
東北	17880	17	570
中部	28057	5	1640
九州	25875	10	1135
中部	19139	24	888
東北	20191	23	1934
東北	29019	22	1399
関東	18597	19	1570
関東	12512	15	1394
中部	22413	6	1438
関東	22204	6	1961
関西	13242	5	487
九州	30866	20	450
関東	12644	16	1436
関東	27915	18	561
関東	30036	14	708
関東	17824	21	1227
中部	18718	15	1277
中部	24817	23	1942
東北	31562	21	600
関東	27598	26	1799
関西	30769	19	929
関東	31954	6	1576
中部	16653	9	501
中部	29513	17	1560
東北	28612	12	1586
関西	30075	26	1493
東北	12086	14	1214
中部	19277	9	1795
東北	14596	24	1765
中部	21243	15	411
九州	18777	20	1988
関東	25928	21	751
中部	23004	14	1839
関東	14308	6	1242
関東	22171	23	543
関東	25808	26	1208
中部	28719	29	933
中部	19952	25	646
中部	19347	9	1679
中部	13894	23	856
関東	13252	28	1647
東北	18504	20	620
九州	17091	13	1757
中部	20445	7	1779
東北	27295	7	436
東北	14765	24	1394
関東	15655	23	867
九州	24621	17	767
関東	30898	15	1031
東北	15316	16	1579
関東	20263	27	1873
関西	30854	7	775
関東	24923	20	991
東北	27628	20	726
九州	17287	23	1294
東北	16611	28	1368
中部	20166	21	550
関東	20880	21	1162
九州	23717	16	1895
東北	23864	7	903
関東	17579	26	566
中部	17679	5	1541
九州	25390	26	1967
九州	30176	28	462
中部	24033	5	1207
九州	28199	24	1554
関西	25004	8	1044
九州	20055	26	1704
中部	28043	16	1391
関東	17854	6	1346
東北	20660	20	1337
九州	31144	22	1282
関西	19546	29	474
関東	26926	29	1117
中部	21352	8	804
九州	22167	6	800
中部	25591	5	1608
九州	15316	9	1341
中部	20863	10	1739
関東	24410	13	1543
関西	25102	28	804
中部	12297	16	1776
東北	30958	26	1891
中部	15421	12	867
九州	19413	21	1588
東北	17277	10	773
関西	31930	12	1022
九州	31843	18	833
九州	14855	29	597
九州	28544	10	1051
東北	13149	14	1961
九州	23751	16	1017
九州	23003	7	489
関東	17446	28	697
中部	29674	22	1359
関西	31375	16	963
関東	25653	22	1891
関東	15523	15	607
九州	16292	12	962
東北	20784	28	1318
関西	23485	6	1951
中部	18200	26	984
関東	29457	5	1518
関東	20330	7	1435
中部	31146	29	1122
東北	13359	24	771
東北	31786	11	1949
関東	31830	7	1259
関西	12553	14	452
関西	29048	24	443
関東	15045	25	901
東北	22785	24	1811
関西	16874	21	571
関東	26592	28	1648
東北	29610	16	629
中部	17323	12	865
東北	13741	27	1242
中部	12168	7	518
東北	16621	14	1557
中部	31312	18	1405
東北	19388	13	1886
関西	22311	27	1294
東北	17638	27	1182
中部	12381	6	686
関東	12059	23	557
九州	19637	28	1303
関西	24242	13	1535
中部	18420	23	1821
中部	29402	9	590
関西	15063	12	660
東北	29973	8	410
関西	29477	18	1874
東北	25993	19	553
関東	18397	24	1747
中部	19189	20	652
九州	21766	22	1076
関東	14740	13	994
関西	31308	16	671
関東	27681	20	1943
関西	17894	8	1716
九州	28220	11	584
東北	21131	10	1745
中部	25963	20	536
九州	13484	10	1999
九州	30372	27	1949
中部	29435	22	1890
関西	29496	7	683
東北	17733	20	1687
関西	15332	19	614
九州	14351	11	1731
中部	31605	9	875
中部	29827	9	1491
東北	14541	13	1375
関西	23900	8	460
東北	20603	13	619
九州	18103	6	1338
中部	27861	5	1419
関東	20573	7	1114
中部	23982	7	927
関東	17811	28	402
関西	19260	12	1585
中部	17803	13	859
関西	22316	22	1638
九州	20194	8	1974
九州	14066	11	903
九州	13317	22	516
東北	22900	20	401
関西	21818	12	1919
東北	19788	6	580
関西	12572	15	1192
関西	18759	12	412
関西	23869	25	455
中部	25264	11	1735
中部	23167	26	1885
九州	15138	26	1991
関東	14673	9	725
関東	19681	7	1083
関東	26329	22	487
中部	28347	14	1539
東北	22204	16	1107
東北	20818	10	638
東北	19057	12	1412
関東	13130	11	640
関西	25036	13	1737
中部	26057	7	1810
九州	27460	28	1695
関西	17118	7	745
東北	14255	18	1795
中部	28767	20	861
九州	16633	19	1620
九州	23108	27	562
中部	30205	21	1906
関東	22675	26	1344
中部	16244	9	1260
中部	12953	9	923
東北	25201	29	411
関西	17812	10	908
中部	21260	14	1223
関西	30125	6	1946
九州	31506	7	1491
東北	21602	11	1876
関東	22484	13	898
関西	22788	5	1789
東北	30329	10	1495
関西	23726	29	980
九州	29233	8	1454
中部	17111	21	1340
関東	30213	14	1913
九州	14524	27	1190
九州	12132	18	1939
関東	24127	29	488
中部	12878	17	1374
関東	25863	28	1211
東北	28268	13	1353
中部	16073	24	626
関東	17534	24	647
九州	31373	11	1770
九州	26780	6	1365
関東	19758	28	1451
関東	23897	28	1665
九州	25916	20	1540
九州	13486	17	1870
関西	23992	24	755
関東	29524	20	1193
関西	26521	20	1324
関西	26414	15	592
中部	15356	8	1614
中部	18630	14	405
関東	22057	21	1096
中部	15237	29	639
関西	22511	13	1880
九州	27081	26	407
九州	27798	6	1585
東北	13230	17	1958
関東	31867	20	1648
東北	30585	8	1956
九州	31337	26	1811
中部	14565	12	469
九州	23068	13	920
関東	16101	17	936
関西	21123	25	767
東北	27518	12	1581
関西	19013	23	934
東北	31570	7	1062
九州	14559	10	1531
中部	30697	24	1476
東北	31051	25	513
関東	23448	8	570
東北	16343	23	1262
関東	26966	22	1264
関西	26135	17	1476
中部	21282	12	1877
中部	28694	20	649
関東	29287	15	1665
関東	16133	16	838
中部	26172	19	1248
関東	22071	11	747
九州	24179	21	496
関東	22229	16	433
関西	25940	17	1756
九州	27328	25	905
関東	24738	18	1124
中部	31580	24	1503
関西	28216	5	1407
九州	27608	12	527
関西	22131	14	1879
中部	31964	28	1041
東北	15719	17	1050
東北	17802	11	912
関西	12495	5	1998
関西	24268	15	1736
東北	29312	20	543
九州	28367	16	866
東北	29420	19	1682
九州	20666	24	1885
関西	19454	25	1466
九州	15654	22	571
中部	27944	12	669
中部	23201	26	842
九州	17519	26	693
中部	13068	6	1841
九州	19279	18	698
九州	22817	26	1099
東北	27181	9	786
九州	28005	13	1657
関西	12411	6	1218
中部	12466	6	1353
東北	14794	9	979
九州	16602	20	721
関西	18095	27	855
九州	22501	20	558
関東	29440	26	1873
関西	25431	10	678
東北	30133	9	1347
九州	31273	17	1944
中部	16463	24	715
関東	16772	25	1921
中部	15820	27	1556
九州	12635	20	1641
九州	16236	19	1259
関西	19865	12	1893
九州	25974	16	502
九州	16478	25	1480
東北	18471	15	502
関西	17444	5	1165
中部	26382	24	601
関西	24348	8	1952
東北	16535	6	936
関東	26055	18	505
九州	23374	18	1385
関東	15997	16	1096
関東	13107	25	1461
九州	30424	16	1370
